level,route_family,predicate_label,view_id,rows,positive,negative,auroc,auprc,balanced_accuracy,macro_F1,Brier,NLL,tp,fp,tn,fn
predicate,relative_horizontal,front,D1_Z_source_confidence_diagnostic,4691,1024,3667,0.5,0.22177917958792615,0.5,0.43874132567599905,0.24884799309435143,0.6908431538350329,0,0,3667,1024
predicate,relative_vertical,higher than,D1_Z_source_confidence_diagnostic,390,195,195,0.5,0.4978624495664984,0.5,0.3333333333333333,0.2500042112996698,0.6931556032302247,0,0,195,195
predicate,relative_horizontal,left,D1_Z_source_confidence_diagnostic,4691,1713,2978,0.5,0.36375860178808955,0.5,0.3883165992958665,0.2494508189312495,0.6920488122786933,0,0,2978,1713
predicate,relative_vertical,lower than,D1_Z_source_confidence_diagnostic,390,195,195,0.5,0.5127947822627803,0.5,0.3333333333333333,0.2500042112996698,0.6931556032302244,0,0,195,195
predicate,support_contact,lying on,D1_Z_source_confidence_diagnostic,1589,232,1357,0.5,0.15378563303503032,0.5,0.46062457569585874,0.24855130803923153,0.6902497803928911,0,0,1357,232
predicate,relative_horizontal,right,D1_Z_source_confidence_diagnostic,4691,1713,2978,0.5,0.3631630324548079,0.5,0.3883165992958665,0.24945081893124946,0.6920488122786933,0,0,2978,1713
predicate,size_relative,smaller than,D1_Z_source_confidence_diagnostic,170,85,85,0.5,0.49794525359590014,0.5,0.3333333333333333,0.2500042112996702,0.6931556032302253,0,0,85,85
predicate,support_contact,standing on,D1_Z_source_confidence_diagnostic,1589,1357,232,0.5,0.8495933331853589,0.5,0.12740252608456892,0.2514571145600954,0.6960614260675343,0,0,232,1357
predicate,relative_horizontal,behind,D2_Q_observability_diagnostic,4691,1024,3667,0.5,0.22173432166995227,0.5,0.43874132567599905,0.24892781564765315,0.6910028014482207,0,0,3667,1024
predicate,size_relative,bigger than,D2_Q_observability_diagnostic,170,85,85,0.5,0.5218529784915993,0.5,0.3333333333333333,0.2500036460630649,0.6931544727392508,0,0,85,85
predicate,relative_horizontal,front,D2_Q_observability_diagnostic,4691,1024,3667,0.5,0.22177917958792615,0.5,0.43874132567599905,0.2489278156476531,0.6910028014482207,0,0,3667,1024
predicate,relative_vertical,higher than,D2_Q_observability_diagnostic,390,195,195,0.5,0.4978624495664984,0.5,0.3333333333333333,0.25000364606306436,0.6931544727392516,0,0,195,195
predicate,relative_horizontal,left,D2_Q_observability_diagnostic,4691,1713,2978,0.5,0.36375860178808955,0.5,0.3883165992958665,0.24948872912190295,0.6921246338504305,0,0,2978,1713
predicate,relative_vertical,lower than,D2_Q_observability_diagnostic,390,195,195,0.5,0.5127947822627803,0.5,0.3333333333333333,0.25000364606306436,0.6931544727392515,0,0,195,195
predicate,support_contact,lying on,D2_Q_observability_diagnostic,1589,232,1357,0.5,0.15378563303503032,0.5,0.46062457569585874,0.2486517580621105,0.6904506835930717,0,0,1357,232
predicate,relative_horizontal,right,D2_Q_observability_diagnostic,4691,1713,2978,0.5,0.3631630324548079,0.5,0.3883165992958665,0.2494887291219029,0.6921246338504305,0,0,2978,1713
predicate,size_relative,smaller than,D2_Q_observability_diagnostic,170,85,85,0.5,0.49794525359590014,0.5,0.3333333333333333,0.2500036460630649,0.6931544727392508,0,0,85,85
predicate,support_contact,standing on,D2_Q_observability_diagnostic,1589,1357,232,0.5,0.8495933331853589,0.5,0.12740252608456892,0.2513555340640074,0.6958582618854321,0,0,232,1357
