level,source_id,route_family,comparison,primary_score,baseline_score,metric,K,point_delta,ci_low_95,ci_high_95,n_bootstrap,unit_count
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Recall@K,20,0.3163265306122449,0.1599855072463768,0.47961184473789514,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Recall@K,20,0.20408163265306123,0.07137896825396828,0.3404255319148936,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Recall@K,20,0.46938775510204084,0.3243044515103339,0.6363636363636364,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Recall@K,20,0.29591836734693877,0.2129419191919192,0.3947521419828641,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Violation@K,20,-0.37111973392461195,-0.3818336627135593,-0.3608527135244028,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Violation@K,20,-0.3325942350332594,-0.3420811067198866,-0.322776264113893,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Violation@K,20,-0.36465262379896524,-0.37602025910150827,-0.3525198818292248,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Violation@K,20,-0.4591648189209165,-0.4709134650605116,-0.44716680571566847,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Violation@K,20,-0.9316334072431633,-0.9477875204662642,-0.9157260332926991,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Violation@K,20,0.005173688100517371,0.0034232635703316835,0.007277215962571434,1000,548
